Engagement Healthiness Costs
57 53 11837
46 51 11542
58 52 12699
54 59 4646
45 40 12274
49 60 10374
74 72 6082
54 52 9424
37 35 16134
75 67 9413
68 57 8326
87 88 4545
71 74 5263
53 52 11851
50 54 8503
78 72 3531
58 58 9392
70 57 7749
57 44 11558
63 66 10063
88 88 3265
41 49 11388
49 45 11676
47 44 11065
74 80 4986
51 50 11814
49 58 9037
39 36 11929
58 61 6288
56 62 8341
74 78 5990
43 42 13797
32 34 13472
63 75 3930
69 69 6222
47 66 8930
47 61 8022
63 66 5073
53 52 11218
80 69 5543
45 44 11732
44 51 9208
50 53 9867
45 35 13549
86 74 5379
73 62 8485
79 81 6787
32 28 17007
58 56 9641
54 51 10283
63 55 10366
43 36 17080
53 57 10094
44 39 14206
63 50 10287
88 78 2798
36 36 16820
73 71 7328
45 47 13119
63 58 6360
52 56 7776
69 76 1171
63 68 8598
66 81 7618
65 64 3301
35 40 12192
67 66 9652
46 47 12222
37 35 16160
65 75 8160
64 50 11108
46 54 10318
78 60 8816
59 54 10315
58 66 10317
48 51 12081
61 57 10604
61 72 6233
56 67 5188
79 84 4887
66 60 11608
82 72 5652
87 80 2521
64 54 8858
62 57 7408
86 80 2594
40 34 16203
51 39 11461
42 42 12876
54 47 10555
58 61 9487
49 46 10233
79 84 2439
60 59 7508
78 68 3143
63 59 5955
47 53 8671
70 70 4973
57 56 10984
37 39 14525
43 45 11309
55 57 8620
60 66 6477
51 59 8828
62 69 6611
57 61 9673
33 37 14822
51 52 16145
42 49 15192
80 73 7220
55 63 7987
30 32 15831
65 59 7156
38 46 11235
41 42 11902
57 49 14282
80 79 3177
27 33 14705
49 44 13383
53 49 11729
71 71 4952
55 60 11271
66 60 10685
33 44 12152
66 62 6833
54 33 16660
48 35 16722
36 37 17669
10 10 21680
80 85 4422
53 51 12150
39 32 16792
69 64 7283
42 48 7877
72 68 10423
55 51 14309
55 54 10912
77 77 4968
46 42 14641
76 67 5811
40 41 14015
46 49 13834
90 74 5314
81 72 4772
48 47 8389
65 69 7442
57 50 13911
46 55 12045
58 52 12448
58 49 8836
18 17 15597
50 38 12924
61 60 9969
32 26 18581
26 28 17344
59 54 10683
79 80 7398
52 58 9230
70 73 1388
65 65 4559
45 44 13166
41 43 13984
30 28 17951
81 75 4979
64 56 9465
41 32 15461
65 63 9005
20 29 13944
68 59 6862
61 61 8441
53 50 14109
54 51 12166
39 40 14931
66 57 10963
49 49 12689
61 70 5638
61 59 12061
71 78 7608
39 50 13848
70 63 7961
51 52 11806
43 45 13849
18 30 15908
41 43 11918
59 67 9976
50 44 11645
74 89 4761
42 44 9023
32 36 17514
73 59 10964
35 36 15110
87 90 206
71 72 3330
67 67 7414
56 59 9262
65 62 6084
55 62 5482
65 64 9764
41 52 12925
65 67 6226
59 45 15284
61 50 9888
55 54 11884
36 34 15511
29 31 14832
40 33 16164
34 37 12830
42 39 13059
55 59 5024
48 43 13759
61 63 7227
54 54 11901
66 57 8809
88 73 4290
76 67 6822
70 66 6802
47 45 12383
